title,,authors,journal,doi
The Y271 and I274 Amino Acids in Reverse Transcriptase of Human Immunodeficiency Virus-1 Are Critical to Protein Stability,,"Zhang, Hao-Jie; Wang, Yong-Xiang; Wu, Hao; Jin, Dong-Yan; Wen, Yu-Mei; Zheng, Bo-Jian",PLoS One,10.1371/journal.pone.0006108
Structure and Inhibition of the SARS Coronavirus Envelope Protein Ion Channel,,"Pervushin, Konstantin; Tan, Edward; Parthasarathy, Krupakar; Lin, Xin; Jiang, Feng Li; Yu, Dejie; Vararattanavech, Ardcharaporn; Soong, Tuck Wah; Liu, Ding Xiang; Torres, Jaume",PLoS Pathog,10.1371/journal.ppat.1000511
"Enhancement of the expression of HCV core gene does not enhance core-specific immune response in DNA immunization: advantages of the heterologous DNA prime, protein boost immunization regimen",,"Alekseeva, Ekaterina; Sominskaya, Irina; Skrastina, Dace; Egorova, Irina; Starodubova, Elizaveta; Kushners, Eriks; Mihailova, Marija; Petrakova, Natalia; Bruvere, Ruta; Kozlovskaya, Tatyana; Isaguliants, Maria; Pumpens, Paul",Genet Vaccines Ther,10.1186/1479-0556-7-7
The impact on neonatal mortality of shifting childbirth services among levels of hospitals: Taiwan's experience,,"Wang, Shi-Yi; Hsu, Sylvia H; Chen, Li-Kuei",BMC Health Serv Res,10.1186/1472-6963-9-94
High-titer preparation of Bombyx mori nucleopolyhedrovirus (BmNPV) displaying recombinant protein in silkworm larvae by size exclusion chromatography and its characterization,,"Kato, Tatsuya; Manoha, Suganthi Lavender; Tanaka, Shigeyasu; Park, Enoch Y",BMC Biotechnol,10.1186/1472-6750-9-55
Crystal Structure of the C-Terminal Cytoplasmic Domain of Non-Structural Protein 4 from Mouse Hepatitis Virus A59,,"Xu, Xiaoling; Lou, Zhiyong; Ma, Yanlin; Chen, Xuehui; Yang, Zhangsheng; Tong, Xiaohang; Zhao, Qi; Xu, Yuanyuan; Deng, Hongyu; Bartlam, Mark; Rao, Zihe",PLoS One,10.1371/journal.pone.0006217
CVTree update: a newly designed phylogenetic study platform using composition vectors and whole genomes,,"Xu, Zhao; Hao, Bailin",Nucleic Acids Res,10.1093/nar/gkp278
CFTR Delivery to 25% of Surface Epithelial Cells Restores Normal Rates of Mucus Transport to Human Cystic Fibrosis Airway Epithelium,,"Zhang, Liqun; Button, Brian; Gabriel, Sherif E.; Burkett, Susan; Yan, Yu; Skiadopoulos, Mario H.; Dang, Yan Li; Vogel, Leatrice N.; McKay, Tristan; Mengos, April; Boucher, Richard C.; Collins, Peter L.; Pickles, Raymond J.",PLoS Biol,10.1371/journal.pbio.1000155
"Occurrence of HSV-1-induced pneumonitis in patients under standard immunosuppressive therapy for rheumatic, vasculitic, and connective tissue disease",,"Witt, Matthias N; Braun, Gerald S; Ihrler, Stephan; Schmid, Holger",BMC Pulm Med,10.1186/1471-2466-9-22
"Studies on membrane topology, N-glycosylation and functionality of SARS-CoV membrane protein",,"Voß, Daniel; Pfefferle, Susanne; Drosten, Christian; Stevermann, Lea; Traggiai, Elisabetta; Lanzavecchia, Antonio; Becker, Stephan",Virol J,10.1186/1743-422x-6-79
Toward unsupervised outbreak detection through visual perception of new patterns,,"Lévy, Pierre P; Valleron, Alain-Jacques",BMC Public Health,10.1186/1471-2458-9-179
"Klassevirus 1, a previously undescribed member of the family Picornaviridae, is globally widespread",,"Holtz, Lori R; Finkbeiner, Stacy R; Zhao, Guoyan; Kirkwood, Carl D; Girones, Rosina; Pipas, James M; Wang, David",Virol J,10.1186/1743-422x-6-86
"Remission of Invasive, Cancer Stem-Like Glioblastoma Xenografts Using Lentiviral Vector-Mediated Suicide Gene Therapy",,"Huszthy, Peter C.; Giroglou, Tsanan; Tsinkalovsky, Oleg; Euskirchen, Philipp; Skaftnesmo, Kai Ove; Bjerkvig, Rolf; von Laer, Dorothee; Miletic, Hrvoje",PLoS One,10.1371/journal.pone.0006314
A Microarray Based Approach for the Identification of Common Foodborne Viruses,,"Ayodeji, Mobolanle; Kulka, Michael; Jackson, Scott A; Patel, Isha; Mammel, Mark; Cebula, Thomas A; Goswami, Biswendu B",Open Virol J,10.2174/1874357900903010007
Crystal structures of the X-domains of a Group-1 and a Group-3 coronavirus reveal that ADP-ribose-binding may not be a conserved property,,"Piotrowski, Yvonne; Hansen, Guido; Boomaars-van der Zanden, A Linda; Snijder, Eric J; Gorbalenya, Alexander E; Hilgenfeld, Rolf",Protein Science,10.1002/pro.15
Protein Never in Mitosis Gene A Interacting-1 regulates calpain activity and the degradation of cyclooxygenase-2 in endothelial cells,,"Liu, Tongzheng; Schneider, Ryan A; Shah, Vaibhav; Huang, Yongcheng; Likhotvorik, Rostislav I; Keshvara, Lakhu; Hoyt, Dale G",J Inflamm (Lond),10.1186/1476-9255-6-20
Is the risk of multiple sclerosis related to the ‘biography’ of the immune system?,,"Krone, Bernd; Oeffner, Frank; Grange, John M.",J Neurol,10.1007/s00415-009-5068-8
Fish Oil-Fed Mice Have Impaired Resistance to Influenza Infection,,"Schwerbrock, Nicole M. J.; Karlsson, Erik A.; Shi, Qing; Sheridan, Patricia A.; Beck, Melinda A.",J Nutr,10.3945/jn.109.108027
Models of epidemics: when contact repetition and clustering should be included,,"Smieszek, Timo; Fiebig, Lena; Scholz, Roland W",Theor Biol Med Model,10.1186/1742-4682-6-11
Rapid and High-Throughput pan-Orthopoxvirus Detection and Identification using PCR and Mass Spectrometry,,"Eshoo, Mark W.; Whitehouse, Chris A.; Nalca, Aysegul; Zoll, Scott; Ecker, Joseph A.; Hall, Thomas A.; Pennella, Thuy-Trang D.; Duncan, David D.; Desai, Anjali; Moradi, Emily K.; Rudnick, Karl; Libby, Brian; Ranken, Raymond; Sampath, Rangarajan; Hofstadler, Steven A.; Ecker, David J.; Blyn, Lawrence B.",PLoS One,10.1371/journal.pone.0006342
Pandemic influenza: implications for occupational medicine,,"Journeay, W Shane; Burnstein, Matthew D",J Occup Med Toxicol,10.1186/1745-6673-4-15
Evidence of Recombination and Genetic Diversity in Human Rhinoviruses in Children with Acute Respiratory Infection,,"Huang, Ting; Wang, Wei; Bessaud, Mael; Ren, Peijun; Sheng, Jun; Yan, Huajie; Zhang, Jing; Lin, Xin; Wang, Yongjin; Delpeyroux, Francis; Deubel, Vincent",PLoS One,10.1371/journal.pone.0006355
IbMADS1 (Ipomoea batatas MADS-box 1 gene) is Involved in Tuberous Root Initiation in Sweet Potato (Ipomoea batatas),,"Ku, Amy Tsu; Huang, Yi-Shiuan; Wang, Yu-Shu; Ma, Daifu; Yeh, Kai-Wun",Annals of Botany,10.1093/aob/mcn067
Novel Mechanistic Insights into Viral Modulation of Immune Receptor Signaling,,"Sigalov, Alexander B.",PLoS Pathog,10.1371/journal.ppat.1000404
Influence of Dendritic Cells on Viral Pathogenicity,,"Freer, Giulia; Matteucci, Donatella",PLoS Pathog,10.1371/journal.ppat.1000384
New angiotensins,,"Varagic, Jasmina; Trask, Aaron J.; Jessup, Jewell A.; Chappell, Mark C.; Ferrario, Carlos M.",J Mol Med (Berl),10.1007/s00109-008-0340-4
Constitutional Flavonoids Derived from Epimedium Dose-Dependently Reduce Incidence of Steroid-Associated Osteonecrosis Not via Direct Action by Themselves on Potential Cellular Targets,,"Zhang, Ge; Wang, Xin-Luan; Sheng, Hui; Xie, Xin-Hui; He, Yi-Xin; Yao, Xin-Sheng; Li, Zi-Rong; Lee, Kwong-Man; He, Wei; Leung, Kwok-Sui; Qin, Ling",PLoS One,10.1371/journal.pone.0006419
Severe Acute Respiratory Syndrome Coronavirus M Protein Inhibits Type I Interferon Production by Impeding the Formation of TRAF3·TANK·TBK1/IKKϵ Complex,,"Siu, Kam-Leung; Kok, Kin-Hang; Ng, Ming-Him James; Poon, Vincent K. M.; Yuen, Kwok-Yung; Zheng, Bo-Jian; Jin, Dong-Yan",Journal of Biological Chemistry,10.1074/jbc.m109.008227
Effectiveness of national cervical cancer screening programme in Taiwan: 12-year experiences,,"Chen, Y-Y; You, S-L; Chen, C-A; Shih, L-Y; Koong, S-L; Chao, K-Y; Hsiao, M-L; Hsieh, C-Y; Chen, C-J",Br J Cancer,10.1038/sj.bjc.6605139
Is dengue a threat to the blood supply?,,"Teo, D; Ng, L C; Lam, S",Transfus Med,10.1111/j.1365-3148.2009.00916.x
Reading chest radiographs in the critically ill (Part II): Radiography of lung pathologies common in the ICU patient,,"Khan, Ali Nawaz; Al-Jahdali, Hamdan; AL-Ghanem, Sarah; Gouda, Alaa",Ann Thorac Med,10.4103/1817-1737.53349
"Public perceptions, anxiety, and behaviour change in relation to the swine flu outbreak: cross sectional telephone survey",,"Rubin, G James; Amlôt, Richard; Page, Lisa; Wessely, Simon",BMJ,10.1136/bmj.b2651
Structure of the C-terminal domain of nsp4 from feline coronavirus,,"Manolaridis, Ioannis; Wojdyla, Justyna A.; Panjikar, Santosh; Snijder, Eric J.; Gorbalenya, Alexander E.; Berglind, Hanna; Nordlund, Pär; Coutard, Bruno; Tucker, Paul A.",Acta Crystallogr D Biol Crystallogr,10.1107/s0907444909018253
Musings on privacy issues in health research involving disaggregate geographic data about individuals,,"Boulos, Maged N Kamel; Curtis, Andrew J; AbdelMalik, Philip",Int J Health Geogr,10.1186/1476-072x-8-46
Temporal Variability and Social Heterogeneity in Disease Transmission: The Case of SARS in Hong Kong,,"Cori, Anne; Boëlle, Pierre-Yves; Thomas, Guy; Leung, Gabriel M.; Valleron, Alain-Jacques",PLoS Comput Biol,10.1371/journal.pcbi.1000471
"Distribution and seasonality of rhinovirus and other respiratory viruses in a cross-section of asthmatic children in Trinidad, West Indies",,"Matthew, Jason; Pinto Pereira, Lexley M; Pappas, Tressa E; Swenson, Cheri A; Grindle, Kris A; Roberg, Kathy A; Lemanske, Robert F; Lee, Wai-Ming; Gern, James E",Ital J Pediatr,10.1186/1824-7288-35-16
The role of NH(4)Cl and cysteine proteases in Human Papillomavirus type 16 infection,,"Dabydeen, Sarah A; Meneses, Patricio I",Virol J,10.1186/1743-422x-6-109
Beyond traditional surveillance: applying syndromic surveillance to developing settings – opportunities and challenges,,"May, Larissa; Chretien, Jean-Paul; Pavlin, Julie A",BMC Public Health,10.1186/1471-2458-9-242
Colonization and infection of the respiratory tract: What do we know?,,"Robinson, Joan",Paediatr Child Health,10.1093/pch/9.1.21
Regulation of the apoptosis-inducing kinase DRAK2 by cyclooxygenase-2 in colorectal cancer,,"Doherty, G A; Byrne, S M; Austin, S C; Scully, G M; Sadlier, D M; Neilan, T G; Kay, E W; Murray, F E; Fitzgerald, D J",Br J Cancer,10.1038/sj.bjc.6605144
"Expression, crystallization and preliminary X-ray diffraction analysis of the N-terminal domain of nsp2 from avian infectious bronchitis virus",,"Yang, Anqi; Wei, Lei; Zhao, Weiran; Xu, Yuanyuan; Rao, Zihe",Acta Crystallographica Section F Structural Biology and Crystallization Communications,10.1107/s1744309109024749
What infection control measures will people carry out to reduce transmission of pandemic influenza? A focus group study,,"Morrison, Leanne G; Yardley, Lucy",BMC Public Health,10.1186/1471-2458-9-258
Retrospective analysis of nosocomial infections in the intensive care unit of a tertiary hospital in China during 2003 and 2007,,"Ding, Ji-Guang; Sun, Qing-Feng; Li, Ke-Cheng; Zheng, Ming-Hua; Miao, Xiao-Hui; Ni, Wu; Hong, Liang; Yang, Jin-Xian; Ruan, Zhan-Wei; Zhou, Rui-Wei; Zhou, Hai-Jiao; He, Wen-Fei",BMC Infect Dis,10.1186/1471-2334-9-115
Corticosteroids for pain relief in sore throat: systematic review and meta-analysis,,"Hayward, Gail; Thompson, Matthew; Heneghan, Carl; Perera, Rafael; Del Mar, Chris; Glasziou, Paul",BMJ,10.1136/bmj.b2976
Estimating Sensitivity of Laboratory Testing for Influenza in Canada through Modelling,,"Schanzer, Dena L.; Garner, Michael J.; Hatchette, Todd F.; Langley, Joanne M.; Aziz, Samina; Tam, Theresa W. S.",PLoS One,10.1371/journal.pone.0006681
Rooting human parechovirus evolution in time,,"Faria, Nuno R; de Vries, Michel; van Hemert, Formijn J; Benschop, Kimberley; van der Hoek, Lia",BMC Evol Biol,10.1186/1471-2148-9-164
Lessons learned from international responses to severe acute respiratory syndrome (SARS),,"Oshitani, Hitoshi",Environmental Health and Preventive Medicine,10.1007/bf02897698
Control of Severe Acute Respiratory Syndrome in Singapore,,"Chan, Kwai Pen",Environmental Health and Preventive Medicine,10.1007/bf02897699
"Advocacy, promotion and e-learning: Supercourse for zoonosis",,"Matibag, Gino C.; Igarashi, Manabu; La Porte, Ron E.; Tamashiro, Hiko",Environmental Health and Preventive Medicine,10.1007/bf02897702
Risk of transmission of airborne infection during train commute based on mathematical model,,"Furuya, Hiroyuki",Environmental Health and Preventive Medicine,10.1007/bf02898153
Generation and Characterization of Novel Human IRAS Monoclonal Antibodies,,"Wang, Bo; Liu, Ying; Shan, Yajun; Yao, Zhenyu; Liu, Xiaolan; Su, Ruibin; Sun, Qihong; Cong, Yuwen; Li, Jin",J Biomed Biotechnol,10.1155/2009/973754
Macrophages of multiple sclerosis patients display deficient SHP-1 expression and enhanced inflammatory phenotype,,"Christophi, George P.; Panos, Michael; Hudson, Chad A.; Christophi, Rebecca L.; Gruber, Ross C.; Mersich, Akos T.; Blystone, Scott D.; Jubelt, Burk; Massa, Paul T.",Lab Invest,10.1038/labinvest.2009.32
"Human Bocavirus Infection, People’s Republic of China",,"Qu, Xiao-Wang; Duan, Zhao-Jun; Qi, Zheng-Yu; Xie, Zhi-Ping; Gao, Han-Chun; Liu, Wen-Pei; Huang, Can-Ping; Peng, Fu-Wang; Zheng, Li-Shu; Hou, Yun-De",Emerg Infect Dis,10.3201/eid1301.060824
Panmicrobial Oligonucleotide Array for Diagnosis of Infectious Diseases,,"Palacios, Gustavo; Quan, Phenix-Lan; Jabado, Omar J.; Conlan, Sean; Hirschberg, David L.; Liu, Yang; Zhai, Junhui; Renwick, Neil; Hui, Jeffrey; Hegyi, Hedi; Grolla, Allen; Strong, James E.; Towner, Jonathan S.; Geisbert, Thomas W.; Jahrling, Peter B.; Büchen-Osmond, Cornelia; Ellerbrok, Heinz; Sanchez-Seco, Maria Paz; Lussier, Yves; Formenty, Pierre; Nichol, Stuart T.; Feldmann, Heinz; Briese, Thomas; Lipkin, W. Ian",Emerg Infect Dis,10.3201/eid1301.060837
"Wildlife, Exotic Pets, and Emerging Zoonoses",,"Chomel, Bruno B.; Belotto, Albino; Meslin, François-Xavier",Emerg Infect Dis,10.3201/eid1301.060480
"Human Bocavirus in Febrile Children, the Netherlands",,"Monteny, Miriam; Niesters, Hubert G.M.; Moll, Henriëtte A.; Berger, Marjolein Y.",Emerg Infect Dis,10.3201/eid1301.060819
"Interaction Between Humans and Poultry, Rural Cambodia",,"Ly, Sowath; Van Kerkhove, Maria D.; Holl, Davun; Froehlich, Yves; Vong, Sirenda",Emerg Infect Dis,10.3201/eid1301.061014
"Code-based Syndromic Surveillance for Influenzalike Illness by International Classification of Diseases, Ninth Revision",,"Marsden-Haug, Nicola; Foster, Virginia B.; Gould, Philip L.; Elbert, Eugene; Wang, Hailiang; Pavlin, Julie A.",Emerg Infect Dis,10.3201/eid1302.060557
"Avian Influenza Risk Perception, Europe and Asia",,"de Zwart, Onno; Veldhuijzen, Irene K.; Elam, Gillian; Aro, Arja R.; Abraham, Thomas; Bishop, George D.; Richardus, Jan Hendrik; Brug, Johannes",Emerg Infect Dis,10.3201/eid1302.060303
Rapid Genome Sequencing of RNA Viruses,,"Mizutani, Tetsuya; Endoh, Daiji; Okamoto, Michiko; Shirato, Kazuya; Shimizu, Hiroyuki; Arita, Minetaro; Fukushi, Shuetsu; Saijo, Masayuki; Lim, Chang Kweng; Ito, Mikako; Nerome, Reiko; Takasaki, Tomohiko; Ishii, Koji; Suzuki, Tetsuro; Kurane, Ichiro; Morikawa, Shigeru; Nishimura, Hidekazu",Emerg Infect Dis,10.3201/eid1302.061032
Subclinical Infection with Avian Influenza A H5N1 Virus in Cats,,"Leschnik, Michael; Weikel, Joachim; Möstl, Karin; Revilla-Fernández, Sandra; Wodak, Eveline; Bagó, Zoltan; Vanek, Elisabeth; Benetka, Viviane; Hess, Michael; Thalhammer, Johann G.",Emerg Infect Dis,10.3201/eid1302.060608
Effectiveness of Neuraminidase Inhibitors for Preventing Staff Absenteeism during Pandemic Influenza,,"Lee, Vernon J.; Chen, Mark I.",Emerg Infect Dis,10.3201/eid1303.060309
Pregnancy and Emerging Diseases,,"Anker, Martha",Emerg Infect Dis,10.3201/eid1303.061345
"Matrix Protein 2 Vaccination and Protection against Influenza Viruses, Including Subtype H5N1",,"Tompkins, Stephen Mark; Zhao, Zi-Shan; Lo, Chia-Yun; Misplon, Julia A.; Liu, Teresa; Ye, Zhiping; Hogan, Robert J.; Wu, Zhengqi; Benton, Kimberly A.; Tumpey, Terrence M.; Epstein, Suzanne L.",Emerg Infect Dis,10.3201/eid1303.061125
Bird Migration Routes and Risk for Pathogen Dispersion into Western Mediterranean Wetlands,,"Jourdain, Elsa; Gauthier-Clerc, Michel; Bicout, Dominique; Sabatier, Philippe",Emerg Infect Dis,10.3201/eid1303.060301
"Spanish Influenza in Japanese Armed Forces, 1918–1920",,"Kawana, Akihiko; Naka, Go; Fujikura, Yuji; Kato, Yasuyuki; Mizuno, Yasutaka; Kondo, Tatsuya; Kudo, Koichiro",Emerg Infect Dis,10.3201/eid1304.060615
Effectiveness of Interventions to Reduce Contact Rates during a Simulated Influenza Pandemic,,"Haber, Michael J.; Shay, Davis K.; Davis, Xiaohong M.; Patel, Rajan; Jin, Xiaoping; Weintraub, Eric; Orenstein, Evan; Thompson, William W.",Emerg Infect Dis,10.3201/eid1304.060828
Dengue and Relative Bradycardia,,"Lateef, Aisha; Fisher, Dale Andrew; Tambyah, Paul Ananth",Emerg Infect Dis,10.3201/eid1304.061212
"Human Bocavirus, a Respiratory and Enteric Virus",,"Vicente, Diego; Cilla, Gustavo; Montes, Milagrosa; Pérez-Yarza, Eduardo G.; Pérez-Trallero, Emilio",Emerg Infect Dis,10.3201/eid1304.061501
"Japanese Encephalitis Viruses from Bats in Yunnan, China",,"Wang, Jing-Lin; Pan, Xiao-Ling; Zhang, Hai-Lin; Fu, Shi-Hong; Wang, Huan-Yu; Tang, Qing; Wang, Lin-Fa; Liang, Guo-Dong",Emerg Infect Dis,10.3201/eid1506.081525
RNA viruses in community-acquired childhood pneumonia in semi-urban Nepal; a cross-sectional study,,"Mathisen, Maria; Strand, Tor A; Sharma, Biswa N; Chandyo, Ram K; Valentiner-Branth, Palle; Basnet, Sudha; Adhikari, Ramesh K; Hvidsten, Dag; Shrestha, Prakash S; Sommerfelt, Halvor",BMC Med,10.1186/1741-7015-7-35
Interaction of short modified peptides deriving from glycoprotein gp36 of feline immunodeficiency virus with phospholipid membranes,,"D’Errico, Gerardino; Vitiello, Giuseppe; D’Ursi, Anna Maria; Marsh, Derek",Eur Biophys J,10.1007/s00249-009-0454-9
Mesodynamics in the SARS nucleocapsid measured by NMR field cycling,,"Clarkson, Michael W.; Lei, Ming; Eisenmesser, Elan Z.; Labeikovsky, Wladimir; Redfield, Alfred; Kern, Dorothee",J Biomol NMR,10.1007/s10858-009-9347-6
Regulated Ire1-dependent decay of messenger RNAs in mammalian cells,,"Hollien, Julie; Lin, Jonathan H.; Li, Han; Stevens, Nicole; Walter, Peter; Weissman, Jonathan S.",J Cell Biol,10.1083/jcb.200903014
Type I interferon receptor-independent and -dependent host transcriptional responses to mouse hepatitis coronavirus infection in vivo,,"Raaben, Matthijs; Groot Koerkamp, Marian   JA; Rottier, Peter JM; de Haan, Cornelis AM",BMC Genomics,10.1186/1471-2164-10-350
"Liquorice Health Check, Oro-Dental Implications, and a Case Report",,"Touyz, Louis Z. G.",Case Rep Med,10.1155/2009/170735
'ONE HEALTH' and parasitology,,"Kaplan, Bruce; Kahn, Laura H; Monath, Thomas P; Woodall, Jack",Parasit Vectors,10.1186/1756-3305-2-36
Early Epidemiological Assessment of the Virulence of Emerging Infectious Diseases: A Case Study of an Influenza Pandemic,,"Nishiura, Hiroshi; Klinkenberg, Don; Roberts, Mick; Heesterbeek, Johan A. P.",PLoS One,10.1371/journal.pone.0006852
Empirical Relationship between Intra-Purine and Intra-Pyrimidine Differences in Conserved Gene Sequences,,"Nandy, Ashesh",PLoS One,10.1371/journal.pone.0006829
"Acute Exacerbations of Asthma: Epidemiology, Biology and the Exacerbation-Prone Phenotype",,"Dougherty, RH; Fahy, John V",Clinical & Experimental Allergy,10.1111/j.1365-2222.2008.03157.x
Identification of protein functions using a machine-learning approach based on sequence-derived properties,,"Lee, Bum Ju; Shin, Moon Sun; Oh, Young Joon; Oh, Hae Seok; Ryu, Keun Ho",Proteome Sci,10.1186/1477-5956-7-27
Willingness of Hong Kong healthcare workers to accept pre-pandemic influenza vaccination at different WHO alert levels: two questionnaire surveys,,"Chor, Josette S Y; Ngai, Karry LK; Goggins, William B; Wong, Martin C S; Wong, Samuel Y S; Lee, Nelson; Leung, Ting-fan; Rainer, Timothy H; Griffiths, Sian; Chan, Paul K S",BMJ,10.1136/bmj.b3391
Evolutionarily Conserved Herpesviral Protein Interaction Networks,,"Fossum, Even; Friedel, Caroline C.; Rajagopala, Seesandra V.; Titz, Björn; Baiker, Armin; Schmidt, Tina; Kraus, Theo; Stellberger, Thorsten; Rutenberg, Christiane; Suthram, Silpa; Bandyopadhyay, Sourav; Rose, Dietlind; von Brunn, Albrecht; Uhlmann, Mareike; Zeretzke, Christine; Dong, Yu-An; Boulet, Hélène; Koegl, Manfred; Bailer, Susanne M.; Koszinowski, Ulrich; Ideker, Trey; Uetz, Peter; Zimmer, Ralf; Haas, Jürgen",PLoS Pathog,10.1371/journal.ppat.1000570
Nature of the Virus Associated with Endemic Balkan Nephropathy,,"Riquelme, Cristina; Escors, David; Ortego, Javier; Sanchez, Carlos M.; Uzelac-Keserovic, Branislava; Apostolov, Konstantin; Enjuanes, Luis",Emerg Infect Dis,10.3201/eid0808.020042
Insertion/Deletion Polymorphism of Angiotensin Converting Enzyme Gene in Kawasaki Disease,,"Shim, Yoon Hee; Kim, Hae Soon; Sohn, Sejung; Hong, Young Mi",J Korean Med Sci,10.3346/jkms.2006.21.2.208
The Application of Genomics to Emerging Zoonotic Viral Diseases,,"Haagmans, Bart L.; Andeweg, Arno C.; Osterhaus, Albert D. M. E.",PLoS Pathog,10.1371/journal.ppat.1000557
The Challenge of Respiratory Virus Infections in Hematopoietic Cell Transplant Recipients,,"Boeckh, Michael",British Journal of Haematology,10.1111/j.1365-2141.2008.07295.x
Differential Regulation of Type I Interferon and Epidermal Growth Factor Pathways by a Human Respirovirus Virulence Factor,,"Caignard, Grégory; Komarova, Anastassia V.; Bouraï, Mehdi; Mourez, Thomas; Jacob, Yves; Jones, Louis M.; Rozenberg, Flore; Vabret, Astrid; Freymuth, François; Tangy, Frédéric; Vidalain, Pierre-Olivier",PLoS Pathog,10.1371/journal.ppat.1000587
Eating the enemy within: autophagy in infectious diseases,,"Orvedahl, A; Levine, B",Cell Death & Differentiation,10.1038/cdd.2008.130
Identification and validation of suitable endogenous reference genes for gene expression studies in human peripheral blood,,"Stamova, Boryana S; Apperson, Michelle; Walker, Wynn L; Tian, Yingfang; Xu, Huichun; Adamczy, Peter; Zhan, Xinhua; Liu, Da-Zhi; Ander, Bradley P; Liao, Isaac H; Gregg, Jeffrey P; Turner, Renee J; Jickling, Glen; Lit, Lisa; Sharp, Frank R",BMC Med Genomics,10.1186/1755-8794-2-49
A host type I interferon response is induced by cytosolic sensing of the bacterial second messenger cyclic-di-GMP,,"McWhirter, Sarah M.; Barbalat, Roman; Monroe, Kathryn M.; Fontana, Mary F.; Hyodo, Mamoru; Joncker, Nathalie T.; Ishii, Ken J.; Akira, Shizuo; Colonna, Marco; Chen, Zhijian J.; Fitzgerald, Katherine A.; Hayakawa, Yoshihiro; Vance, Russell E.",J Exp Med,10.1084/jem.20082874
A Serological Survey of Infectious Disease in Yellowstone National Park’s Canid Community,,"Almberg, Emily S.; Mech, L. David; Smith, Douglas W.; Sheldon, Jennifer W.; Crabtree, Robert L.",PLoS One,10.1371/journal.pone.0007042
Respirator Donning in Post-Hurricane New Orleans,,"Cummings, Kristin J.; Cox-Ganser, Jean; Riggs, Margaret A.; Edwards, Nicole; Kreiss, Kathleen",Emerg Infect Dis,10.3201/eid1305.061490
Dengue Hemorrhagic Fever in Infants: Research Opportunities Ignored,,"Halstead, Scott B.; Lan, Nguyen Trong; Myint, Thein Thein; Shwe, Than Nu; Nisalak, Ananda; Kalyanarooj, Siripen; Nimmannitya, Suchitra; Soegijanto, Soegeng; Vaughn, David W.; Endy, Timothy P.",Emerg Infect Dis,10.3201/eid0812.020170
SNAD: sequence name annotation-based designer,,"Sidorov, Igor A; Reshetov, Denis A; Gorbalenya, Alexander E",BMC Bioinformatics,10.1186/1471-2105-10-251
Gene Expression Profiling in Cells with Enhanced γ-Secretase Activity,,"Magold, Alexandra I.; Cacquevel, Matthias; Fraering, Patrick C.",PLoS One,10.1371/journal.pone.0006952
Reverse genetic characterization of the natural genomic deletion in SARS-Coronavirus strain Frankfurt-1 open reading frame 7b reveals an attenuating function of the 7b protein in-vitro and in-vivo,,"Pfefferle, Susanne; Krähling, Verena; Ditt, Vanessa; Grywna, Klaus; Mühlberger, Elke; Drosten, Christian",Virol J,10.1186/1743-422x-6-131
Different altered stage correlative expression of high abundance acute-phase proteins in sera of patients with epithelial ovarian carcinoma,,"Chen, Yeng; Lim, Boon-Kiong; Hashim, Onn H",J Hematol Oncol,10.1186/1756-8722-2-37
Bayesian Phylogeography Finds Its Roots,,"Lemey, Philippe; Rambaut, Andrew; Drummond, Alexei J.; Suchard, Marc A.",PLoS Comput Biol,10.1371/journal.pcbi.1000520
Increased ATP generation in the host cell is required for efficient vaccinia virus production,,"Chang, Chia-Wei; Li, Hui-Chun; Hsu, Che-Fang; Chang, Chiao-Yen; Lo, Shih-Yen",J Biomed Sci,10.1186/1423-0127-16-80
Escape from Autologous Neutralizing Antibodies in Acute/Early Subtype C HIV-1 Infection Requires Multiple Pathways,,"Rong, Rong; Li, Bing; Lynch, Rebecca M.; Haaland, Richard E.; Murphy, Megan K.; Mulenga, Joseph; Allen, Susan A.; Pinter, Abraham; Shaw, George M.; Hunter, Eric; Robinson, James E.; Gnanakaran, S.; Derdeyn, Cynthia A.",PLoS Pathog,10.1371/journal.ppat.1000594
Brain Extracellular Matrix in Neurodegeneration,,"Bonneh-Barkay, Dafna; Wiley, Clayton A.",Brain Pathology,10.1111/j.1750-3639.2008.00195.x
Crystal Structure of the N-Acetylmannosamine Kinase Domain of GNE,,"Tong, Yufeng; Tempel, Wolfram; Nedyalkova, Lyudmila; MacKenzie, Farrell; Park, Hee-Won",PLoS One,10.1371/journal.pone.0007165
Inducible Bronchus-Associated Lymphoid Tissue Elicited by a Protein Cage Nanoparticle Enhances Protection in Mice against Diverse Respiratory Viruses,,"Wiley, James A.; Richert, Laura E.; Swain, Steve D.; Harmsen, Ann; Barnard, Dale L.; Randall, Troy D.; Jutila, Mark; Douglas, Trevor; Broomell, Chris; Young, Mark; Harmsen, Allen",PLoS One,10.1371/journal.pone.0007142
Genetically Diverse Coronaviruses in Wild Bird Populations of Northern England,,"Hughes, Laura A.; Savage, Carol; Naylor, Clive; Bennett, Malcolm; Chantrey, Julian; Jones, Richard",Emerg Infect Dis,10.3201/eid1507.090067
Increased Host Species Diversity and Decreased Prevalence of Sin Nombre Virus,,"Dizney, Laurie J.; Ruedas, Luis A.",Emerg Infect Dis,10.3201/eid1507.081083
