roles,#doc,documents
Educator,382,"And our community only has a couple of private preschools. our WA kids kinder readiness data is scary every year. We are in the very bottom of the state. And when you compare that to our SBA data at third grade, it is like, wow, what are our kinder, first and second grade teachers doing? They are amazing. but if you just look at the third grade SBA, you are like, my gosh, these kids have so far to go."
Educator,383,"But we have 70% of our five-year-olds coming in with math skills of a two year old and you have to make all that up. So if we had more state policies to support, and funding to support early-learning programs, especially in a place like ours, where our students do not have access outside of our school district, that would be a huge support for us."
Educator,384,"the biggest opportunity that I see in our school district is our opportunity to think differently forever, about how we listen to families and students and use their voice to drive our decision making. we did that really well throughout the pandemic."
Educator,385,"even recently talking to some of our school-board members, they feel like in our district, their relationship with the community has strengthened throughout the pandemic, which has been completely the opposite of many of our local districts and communities."
Educator,516,"A lot of it, is just sort of institutional issues. Public education is incredibly wide. And administration even more so, and so you get a lot of equity talk about we know we need more educators-of-color, and we need to be recruiting at more diverse array of colleges and universities. We need to be looking at training and building capacity from within, but that is a short-sighted commitment. because it is incredibly lonely and the loneliness in not having your other is hard work."
Educator,517,"And especially as a Native educator, we advocate for students in a lot of different ways to be able to pursue in their culture and to engage in traditional practices that we do not have the professional time to do ourselves. You only have five personal days and your tribe is in Arizona or New York, you are going to eat that up for one cultural event. So there is a lot of knowing sacrifice as we advocate for our students."
Educator,518,"there is also the fact that, that is getting more diversity in front of the classroom has tons of known benefit is. But that is where the conversation stops, and that is where the work begins, because under what circumstance is a non-Native administrator going to recognize my highly proficient cultural way of engaging with students."
Educator,519,"If they have no cultural framework with which to evaluate me and what implicit bias are we receiving from a predominantly, was it 86%, 82% white administrative staff nationally? So we do not have, we can not go up."
Educator,520,"And there is almost never any conversations about getting educators-of-color into that either building or programming administrative position. that leads to back to where you are working policy, who are the people making policy? Who are the ones starting these conversations? you are going back to where it predominantly white administrators, and we do not have that diversity of stakeholders present."
Educator,521,"you are having interesting conversations because sometimes there are direct policy barriers, but then sometimes it is this more sort of amorphous intangible institutional problem as you are going along the way."
Educator,522,"You are university folks, lets get a little radical. education is a settler-colonial institution. It is designed by a group of people to benefit a specific group of people with a specific set of learning. That learning is privileged and your ability to learn and engage in that way leads to a very sort of predetermined pathway."
Educator,523,"The system itself is not inherently designed for social. That said, those of us in the field know how to take advantage of, we just know how to use the system for good. And even if you are looking at the greater structures of the greater settler-colonial institutions that make up this nation. I have always contended that the means for it is own destruction are built in. You get in there and just start pulling out nails until it crbles."
Educator,524,"So there is a certain amount of privilege and opportunity for those of us who have managed, infiltrate in some way. And to make it help steer these archaic and glacial institutions to turn towards justice. it is in the area of governance, and this is something that I have learned along the way, one gatekeeper can make a world of difference."
Educator,525,"And so much of the people in my line of work, we labor at this for our whole careers. it is all about getting gains, holding the line, and hoping the next generation to replace it. but a lot of the major successes, we had one administrator who just came in one day, it is like, tell me everything about Native education. And I was like, it should work. And it is like, yeah, and so it just came in, it started a big relationship and as a gatekeeper, he just opened the gate. He just took the gate off the hinges and he really was one of the most amazing allies I have ever worked with because he had a mentality of damn to say no."
Educator,526,"there is a lot of work that a lot of excellent work that is being done and can be done within the institutions as they are. Are there better ways? Absolutely. Is that likely to come within our lifetime? Probably not, but there are places, there are districts, that have looked at, lets completely re-envision the way public education works and runs and they are successful, but they are big lifts. And again, it all comes back to that unmitigated community support."
Educator,527,"if we are continuing down the radical path, is a post settler-colonial state a reality, is that possible? I am one of those that do not think there is because it is not...Algeria. Where are the settlers going to go? So what is the long-term goal? I think so what I envision, at least within my institution is just an ongoing, willingness to oil the hinges on the gates and allow opportunities for education to reflect the students they serve more and more. That we say yes and a whole lot more."
Educator,528,"It is about having an ongoing conversation about what is education and what it serves, and who it is supposed to serve. And the more that our education systems could reflect the values of our communities and the needs of their communities, I think the institution can evolve itself. There are always truly ruinous institutions that just need a hard restart. So I am not attacking those. I am saying the ones that are functioning and are full of really good well-intentioned people wanting to do good work. Who just may not always have the tools or the resources, because it is also equally hard."
Educator,529,"the fact that it is such a wide institution, if you are an ally, it is really hard to do the good work, but a bunch of other people like you. And it is hard, it can be hard to initiate those relationships and to engage in that with them, and build that trust and build that legitimacy. And that is a time factor that goes into it as well."
Educator,530,"the one consistent thing that comes up is so critical for Native people and policy. because we may disappear in data and in education, it is a big problem. And a lot of it is set by Federal Policy. So if, as the only way that we pop up is if we mark American Indian only, or Alaska Native only in on the Federal-Race-and-Ethnicity form. If we are two-or-more-races or Native and Hispanic, we literally disappear. We only become those other categories. that data representation has has major impacts on funding, programming, supports, the whole trickle down of that representation."
Educator,531,"this is some information that I use in my trainings and this, I like the national data because the number difference is so huge. but so you can see there is difference locally. So if we look at American Indian only as we would typically in school data, we still have an increase in population. this is the first time that 2020 census that they have included two-or-more-races, or in combination, and you can see how substantial these numbers change as you go from very local as you grow nationally. And all of that really matters."
Educator,532,"there is a lot of great work. If you have not already spent time with the amazing people, who have already done it as part of what you do on a daily basis. but the Portland Area Indian Health Board has done a lot of great work about decolonizing data. up in Seattle, I think you have what Abigail Echo-Hawk with the Seattle Indian Health Board about decolonizing data. this just looking at the state data, the American Indian, Alaska Native teacher representation, it is tiny. But this is straight from the OSPI website, but if you add other factors, there are a couple 100 more of us out there. So this all plays into like if were looking at..."
Educator,533,"So if were looking at this representation, where are district priorities for professional-development going to be? Because my professional-development needs are going to be different than these ones. And the thing is, if I am leading something that I would benefit from, if I need a training in something I would benefit from, odds are, I would be the one keeping it. So how are we maintaining that professional, that higher professional standard for educators-of-color? And also it gets this vicious cycle like you cannot be what you cannot see. if our first students do not see themselves in front of the classroom and do not see themselves in the textbook, what is the likelihood that they are going to want to work there? that was just a big point with data that I wanted to share."
Educator,534,"There is all sorts of different breakdowns with this, and this is also really important too, because if you look at the becoming Visible report that I willinators did too. Only 34% of people think Natives experience any amount of discrimination or violence. it is not uncommon for people in my position or just everyday life to talk to an otherwise well educated adult and be generally shocked that we still exist. all of these numbers are really critical and it is not an easy solution, and I do not know what it is. But for policy and data people how are we sort of disaggregating this race and ethnicity data? So we can make some really true informed policy decisions."
Educator,535,"if you reach out to office and Native education, they got some great data that they have been running. And so I guess that wraps up the one policy thing that consistently comes on. I do not know why this lingers, but it has been lingering for a long time. it is just an issue of alignment."
Educator,536,"So what I do is fund in, in large part by title-six Indian education, and then you have title-three, which is predominantly, traditionally English language learning (ELL). but there is a category in there for Native American students at academic risk. for whatever reason, our state definition of title-three, does not align with the federal definition. And because of that, we are losing out on tons of federal dollars that could go to supporting students. And every time it goes in front of the legislature. It just withers on the vine."
State nonprofits/advocacy orgs,588,"one of the biggest political education moments for us as an organization, has been how much power school-boards have in this state. And a lot of that has come from experience of passing things at the state legislature. And then following that through into implementation, and noticing that really, it is the school-board that makes the decisions. It is the school-board that negotiates the contracts with the teachers union."
State nonprofits/advocacy orgs,589,"some of the work that we have done at OneAmerica votes on our political side, is to invest more in supporting school-board candidates from our communities, mostly women-of-color, not only to run, but to run on an equity platform, and on a platform that represents the values of our membership of the people that the system should be serving. to govern well. because I think that we have seen good people go into school-board seats, and then they either sink or they do not have enough critical mass to get stuff done."
State nonprofits/advocacy orgs,590,"it (advisory structures as supplements) is underdeveloped. part of the reason is, and it is particularly underdeveloped in how they relate to school-boards. I think inside a districts, there is a lot of, like most districts have some infrastructure in which they are engaging the community or parents. but I think my question there is that real decision making power, and then where is the accountability?"
State nonprofits/advocacy orgs,591,"Most of the ways that community engage with school-boards is through public comment at their public meetings. And a lot of times those meetings are inaccessible. And that is why getting people who have to have a lived experience and are representative of BIPOC and immigrant refugee communities into those seats is so important, because we have seen a lot of our candidates do things like implement translation and interpretation in the school-board meetings. hat is a huge gap, and I think that it is part of what is adding to the power differential."
State nonprofits/advocacy orgs,592,"the other structural problem with that is that, school-boards are basically voluntary. So even if there was like an advisory board that the school-board members should be meeting with regularly and getting input and guidance from, that they are not resourced to do that. there are some promising practices, for example, like Head Start has had these parent advisory councils for decades now. And we have seen parents come out of that experience, because it is so much about leadership and development, that is the thing."
State nonprofits/advocacy orgs,593,"the other thing that is really difficult, what districts sometimes do, is they have an advisory body, they pluck people from the community and say, Tell us what to do. And there actually has to be an investment in co-leadership development, the district has to learn, like how do I actually engage in a way that is about like, our collective self interest? And how do I utilize my power within a system to move things. And the community has to be invested in to understand how the system works."
State nonprofits/advocacy orgs,594,"I have heard from so many parents ""can you go to this meeting?"" They have shown up, they have been so overwhelmed with the acronyms, the lingo that they just feel even more disempowered. I think like the conditions, it is like the structure, and then the investments we make in the people that are showing up to that structure."
State nonprofits/advocacy orgs,595,"The other thing l will mention is the importance of a parent and family and community engagement. And I think that it is really important for who are exploring how to impact the K-12 field to not just focus on outcomes and academic programs, but on the ecosystem of the school."
State nonprofits/advocacy orgs,596,"we have tons of research on the importance of parent, family and community engagement, but I think a lot of systems do not do it well. And one of the key levers that we have been able to work on over the last few years is one, policies that advance language access for parents."
State nonprofits/advocacy orgs,597,"we have explored things over the years of like weighted funding formulas. there is a real flaw in the way that the funding formulas work now. And a lot of political will, and capital is going to be needed to tackle that."
State nonprofits/advocacy orgs,598,"there is probably in the next decade, that is the fight in some ways. there is of, to your question about governance, I actually think we need to take a step back and look at, what is the power that the state board has? What is the power that OSPI has? What is the power that the legislature has? And what are the power that districts and unions have? These are the key players that are making decisions about the education system. And I think we often are, like Uber focused on the legislature. but having an aligned agenda for all these entities, I think it is going to be key. But yeah, the funding formula is flawed. It is not rooted in equity. It gets us the basic guts."
State nonprofits/advocacy orgs,599,"the current funding formula basically assumes that kids enter the system on equal footing. You may get more if you are low-income for Title-I, or Title-III. but actually, there is no accountability at the district level that that money is going to serve those kids. So, it assumes the current funding formula is student-based, like it just assumes that all kids are coming in with the same needs, with some exceptions."
Funder,815,"in Seattle. it is going to be different everywhere. And we are surrounded by federally recognized tribes in this area, in this state. that also have their own unique needs. So equity is just being very intentional about the resources and support that we provide to get folks to that point, whatever that point is for them."
Funder,816,"Success can be a number of things and it can look different, but for me it is, do not give someone an apple if they do not need an apple. You give them whatever they need and that is very specific. And so it can look all kinds of ways, I think."
Funder,817,"So I am less familiar with policies. this is a few years back that the legislator passed the Since-Time-Immemorial, the curriculum. So I think that exists as a good example. Now the implementation, however, has not been consistent and there is not a lot of follow through. that in my opinion has room to grow. but I definitely think that is a move in the direction."
Funder,818,"I wish I knew more about really specific statewide or local policies. I am sure if I thought about it, I can think of them, but in this moment. Because my work has really been outside the school system, I interact with it and I have a good knowledge around how the school systems impact our communities."
Funder,819,Schools are a form of assimilation. They were used as ways to remove our people from community and their families in a really horrible way with the boarding schools. So I can speak to that and how that continues to perpetuate itself in school.
Funder,820,"the boarding school system was intentionally forced upon our communities here in the United-States and in Canada. And it was a way to get rid of, kill the Indian and put them at a desk and forcing them some to speak English and force Christianity on them, completely separate from their families, which is not how learning and education in the Western sense would have happened."
Funder,821,"Learning and an understanding in communities, generally speaking happens inter-generationally, it happens in a particular place around whatever those ceremonies, medicines are in that community, very much intertwined and interconnected. So that school system was intentional and pulled the kids out and did not let them go back or they never came home."
Funder,822,"how I see that continuing, although here in the state, Washington Since-Time-Immemorial, there still are curriculums and things that diminish or white wash history. And even in the books, they are very minimal if at all, what was and what is. Some folks do not even believe native people are still alive. What are current communities? What do they look like? What are they doing? So it continues to just erase native people generally."
Funder,823,"(standardized testing) I do not find them helpful for students and a lot of folks, they can be super bright and super smart and do not test well. And the fact that students now spend so much time getting ready for tests, these standardized tests that are the policy of which schools, that is related to their funding, if I remember correctly, and teachers performance, they are tied to these tests. it is discouraging for the students and educators who are truly trying to do a good job. And then, how the schools are looking to the outside world, whether or not they are doing well."
Funder,824,"classrooms, it should be, take tests. that is a normal thing. you are going to have to do those things. Lets test our knowledge and see where we are at. Totally valid. but lets not spend an exorbitant amount of time on these tests. They do not help you."
Funder,825,"They train you how to take a test. it is not helpful in real life and if you want to go to college or not, you are not going to have to do that in your jobs. So I think they are a complete waste of time."
State administrators/legislators/board,866,"And so looking at how do we make changes to those structures that can remove those sort of predictable outcomes by race or ethnicity or socioeconomic status? And the board actually had a fairly in-depth discussion about this later, and I have added some additional concepts to that. So things like casts, and other things have been added to that list."
State administrators/legislators/board,867,"the board has articulated some sort of high level goals. And I guess I will send you this too. We have our strategic plan that has our goals in there, but they are around creating around social emotional health students feeling safe and, and supported in their schools, students being able to engage effectively with their communities when they move through the system, schools that support students as they go through the system and reflect the communities that students are engaged with and then supporting, more in the details, successful transition P-12 and then onto whatever is post-secondary."
State administrators/legislators/board,868,"And a lot of conversation around this throughout the state and with the board about post-secondary meaning lots of different things. And in our framework, that is really about the students being able to make and informed and real choice about what they want to do next and having that be essentially fulfilling what fulfills their goals."
State administrators/legislators/board,869,"So the state actually defines this in terms of students being ready for civic engagement, careers, post-secondary education and lifelong learning. And the board has sort of embraced that. it is actually in the state definition of citizenship. we have changed that to civic engagement because I think it might have meant some... Citizenship meant, I think in our minds, meant civic engagement, not technical citizenship at any rate."
State administrators/legislators/board,870,"And then, the boards been really concerned about equitable funding for our system as to support all this work. We do not actually have much policy role related to funding, but it is an area that you cannot ignore as you look at these various issues."
State administrators/legislators/board,871,"I am going to channel of what, we have been doing a lot of listening to different student groups, and I think they are leading us on some of this. And now this is occurring locally and not yet at the state, which would be things like policies to support ethnic studies curriculum, and those sorts of things were hearing."
State administrators/legislators/board,872,"that is somewhat specific, but more broadly, what students are asking for is instructional environment that helps them feel included and recognized and valued in the education system and that they are more willing and able to engage in those circumstances. And so some districts are leading on that. Some schools, some teachers, it is really down to that level. So it almost is not really a policy at that point. but we do know there are a number of districts that are ahead on this and moving forward on implementing these kinds of programs. The board is looking at how to structure a state policy to support that as well. And that really comes into play in two areas."
State administrators/legislators/board,873,"So some of that OSPI has been leading through ethnic studies advisory committee that made recommendations about how we can incorporate ethnic studies across the standards and across the curriculum. And that the board was supportive of that concept, and in addition to that is looking at a graduation requirement. So that is the direction were hoping to go to support that sort of thing."
State administrators/legislators/board,874,"One of the other things were hearing from students and from others is just ways to more broadly recognize and improve social emotional sort of health and wellbeing. And again, that is another area where the board does not really have an explicit role, but what we have been looking at to support that is school climate kinds of surveys, so that we know when were improving or when we have issues to address."
State administrators/legislators/board,875,"And again, this is on where many districts are doing this as a regular course of action and have strategies to improve climate over time. And at the state, we are looking at ways to measure that as well. I think some of the related but not exactly the same kinds of indicators we have seen, this is probably more on the negative side, is seen in school discipline policies and things like that, that could negatively impact, in many cases, the environment from a student standpoint."
State administrators/legislators/board,876,"discipline is one. there is been actually a lot of activity and changes at sort of the state level, and were seeing it trickling out at the local level to change how they do it, but things like exclusionary discipline can be really challenging at best for students and really detrimental for some students. And it is interesting."
State administrators/legislators/board,877,"I will just share because one of my board members has been quite vocal on this, is he is hes raised the concern about even the vocabulary reuse on this and the idea that were not really doing discipline because discipline means something different. What were really doing is punishing kids. And so wanting to put it in that frame of punishment so that were clear about what really is happening. that emphasizes why it is problematic."
State administrators/legislators/board,878,"that is one of the areas I think that we have really disparate implementation of some of our policies, and so I do see that as a barrier for students in a number of different ways. And I will just give a couple of examples, but this is true of a lot of it. So we have set up different policies at the state level to try to enhance or improve opportunities for students and equity and so forth, but they have not always been implemented quite in the way that they were envisioned."
State administrators/legislators/board,879,"And so I would say that is a problem with the policy. So we need to fix the policy if we want it to be implemented properly. but examples would be things like High School and Beyond Plan, which I think the vision for that is an outstanding idea to really help students think early about how they want to structure their, in this case, primarily their high school curriculum so that they can be prepared for what comes after high school."
State administrators/legislators/board,880,"And conceptually, it is great, and there is been a lot of additions to that to try to make the policy work, but it is not actually filling that purpose very well because in many cases it becomes a check the box exercise that is not really making students feel like that they really are have agency in their education."
State administrators/legislators/board,881,"So how do we fix that is the question, one of many questions that we would like to figure out. And so some of that is a local implementation question. Some of it is probably a state policy question about how we structure that policy. And then other policies I think that fall into that same category are things like our approach to dual-credit and some of the other policies we have, again, to support students learning and growth where there is just a lot of inconsistency, and it is not always even clear what the purpose or how students access these."
State administrators/legislators/board,882,And so parents need to be probably involved at a higher level to really make them work well for students or to help them work well for students. I think it impacts students ability to access and use these programs and have the agency that they need to really get the most out of a dual-credit program.
Local nonprofits/advocacy orgs,973,"I think as far as the availability of the college balance scholarship, that is a real great thing that we have for children. The problem is, is they get those scholarships, eligible for those scholarships in middle school, and then when they get to high school, nobody tells them they got to keep a C average if they want to get the scholarship when they graduate."
Local nonprofits/advocacy orgs,974,"basically, what we do not have in the state of Washington is a set of policies that promote the concept of hope for the children and families. So why would I go to school every day in the state of Washington when nothings going to happen to me if I do not go, nothings going to happen to my parents if I do not go. I have got to be motivated to go to school. So the state no longer incarcerates children who are chronically true or absent. Okay. Great. That may impact the school to prison pipeline."
Local nonprofits/advocacy orgs,975,"but on the other hand, prior to the pandemic, Washington had the 49th worst chronic school absentee as a rate in the United-States. Now, you will not find that on the OSPI website because there is a lot of way to calculate that rate. But there is only one way to actually calculate it. The number of days a childs supposed to be in school versus the number of days they are actually in school. So we do not keep track of the children."
Local nonprofits/advocacy orgs,976,"We do not incentivize the children by having taken a holistic look at creating an atmosphere of hope, especially now at a time when so many children have lost their hope. We have to have somebody in our policy making process, who can look children and families in the eye and say, You can be successful. You need to stay in high school and graduate from high school. And when you do that, we are going to have a path for you, whether that path is going into the trades or whether that path is going to college. Whatever path it might be. but that conversation is not taking place."
Local nonprofits/advocacy orgs,977,"So the schools are in the position of just trying. They have been given this money to address learning loss, and they cannot even find teachers that want to stay after school to do after school programs, because the teachers are so burned out. So the teachers do not have much hope either. We need hope in the state of Washington."
Local nonprofits/advocacy orgs,978,"So in terms of equity, more specifically to your question rather than keep going on these higher rates, I apologize. So for example, we work closely with a number of different organizations like our own MLK family outreach center here in Spokane. So what we do is we collaborate to support them because they are also serving our kids. We all have these kids in common."
Local nonprofits/advocacy orgs,979,"they started a teen technology center. So we went out and we got some of our partners to donate hardware to that center. And we do our tools to schools drive at MLK. So we make sure, again, those kids are getting school supplies, technology. We stopped getting regular school supplies the year before it last because the kids did not need books. They needed earphones and earbuds and this thing. We also tried to take on the issue of internet connectivity."
Local nonprofits/advocacy orgs,980,"we worked with a company who specializes in wireless internet transmission, and try to get other people engaged in that conversation because we know we have low-income neighborhoods and neighborhoods-of-color that have inadequate fiber. Why is not the state of Washington interested in this? So we successfully set up one, the Northeast Youth Center, got them redone in terms of a server and the bandwidth, because a bunch of kids actually had to come to the center to do their schoolwork because there was no way they had bandwidth at home. And then we just recently helped upgrade the internet connections at the Northeast Community Center, which is in the poorest ZIP code in Washington, 99207."
Local nonprofits/advocacy orgs,981,"because we are loud, because I am loud, my people work for me are smart, what we try to do is we try to get out there and push these issues on behalf of the folks that we work with and the children we are serving. And we have been successful in some ways. Not always, but sometimes."
State administrators/legislators/board,1037,"Really having conversations around how the system was really not created for kids-of-color, low-income kids, kids with disabilities and neuro divergent students. then talking about how we can revolutionize the system so that it actually does work for our students."
State administrators/legislators/board,1038,"it is not so much a policy now, but there is a movement towards increasing understanding and knowledge around racial equity and how the system perpetuates things like the school to prison pipeline and how it pushes some students out. movement towards really having school-board members and adults in the system understand what equity means has been beneficial."
State administrators/legislators/board,1039,"The social movement around protesting things like the lynching of George Floyd and Brianna Taylor. I think that has started the movement of understanding that the school system is not created for adults. It is supposed to be for children and that we need to listen to our kids and their guidance as to what they are looking for, I think has been beneficial."
State administrators/legislators/board,1040,"I would love to see more explicit truth in how we educate our kids from the history of the birth of this country, to the purpose of education and the things like the school to prison pipeline, like the new jim Crow, understanding how all of the systems, except for the correction system was created for the supremacy of one group of folks over the oppression of others, would be important."
State administrators/legislators/board,1041,"In Washington State, I know that we have created the requirement for ethnic studies in classrooms. that is going to be incredibly important if we get the professional-development down correctly so that the teachers and the teachers of teachers know what ethnic studies means and how to educate our students throughout the year, as opposed to just in specific months. those are going to be really important."
State administrators/legislators/board,1042,"Then there is a policy coming down around mastery based learning, which is very different from the seat time requirement that we have now of 180 days. I think the ability and flexibility of moving students in and out of classrooms as they master knowledge or need more support in understanding the curriculum is going to be really beneficial for our kids. My hope is that well be able to pass that soon."
State administrators/legislators/board,1043,(can you think of ways that state or local policies are enhancing racial and economic equity?) They are not .
State administrators/legislators/board,1044,"My organization, the EEC, was founded because of the McCleary decision, which was a state court decision that came out in 2012, saying that the state is not fully funding education. The reason that we were founded was because there was a large group of leader-of-color throughout the state that we were really, really concerned that we we are going to defund other systems to fund education, which we have done before."
State administrators/legislators/board,1045,"We have defunded things like Headstart, ECAP, food assistance, rental assistance, mental health to fund education. And at this point in 2012, I think there were a lot of leaders that were just like, ""Enough. We cannot do this."""
State administrators/legislators/board,1046,"The first year of our existence in the legislative session, which was 2013, we were successful in getting $800 million into the learning assistance program, as well as the transitional bilingual instruction program."
State administrators/legislators/board,1047,"The problem with that was is that there is absolutely no accountability to any of those programs. If you start following the money from the state legislature to OSPI, to the school buildings, there us a point in time where you just do not know where the money goes."
State administrators/legislators/board,1048,"Like you have got the budget for the state, you have got the budget for the school district. You have got a sense of what the budget for the building looks like, but there is no way to report out how many students got learning assistance program money and what those programs were used for. And that is a big problem that we have been trying to tackle for the past 10 years-ish."
State administrators/legislators/board,1049,"when you are looking at funding, we have put in almost $10 billion in the last 10 years, but there is really no accountability system to that. We still have 23 different accounting systems that feed into OSPI, and then they have to figure it out."
State administrators/legislators/board,1050,"And most of the folks that work at OSPI will tell you what school districts just do not have the support to be able to account out where that money goes. a lot of those school districts are larger school districts. It is really hard to then say, ""Okay, of the 15,000 school kids that go to whatever school,"" say Tacoma, we know that this group of kids got high cap money and special-ed, we are not able to do any of that."
State administrators/legislators/board,1051,"while the policy of putting more money into a K-12 has been beneficial for some school buildings and school districts, it has not been the school districts that need the money."
State administrators/legislators/board,1052,"Like the way that we have been playing around and nibbling at the edges of the prototypical model has been that school districts that do not need the money. but because of the staff mix ratio are having staff members work with a lower number of low-income kids or ELL kids or special-ed kids, because of that ratio, they get more money than school districts that have a higher ratio of special-ED, ELL and neuro divergent students."
State administrators/legislators/board,1053,"We have put in a ton of money into education, but we do not know where that moneys going. that is the bittersweet part of it is that we are more than happy to put money into education, but we are loathed to figure out an accounting system or accountability system to be able to answer how many students were served by the transitional bilingual instruction program. And what were those projects?"
State administrators/legislators/board,1054,"(the impacts of McCleary on students-of-color, particularly districts that serve a higher ratio of students-of-color) It negatively impacts them. we have been studying school finances since 2016, and we got a grant to dive even deeper into it and start looking at different states and all of their funding formulas to see if there is a better way of doing it."
State administrators/legislators/board,1055,"because the prototypical model makes one huge assumption, which is really, really detrimental to our families and our students, which is that school-board directors know what a school budgets supposed to do and how to fix it. They do not."
State administrators/legislators/board,1056,"there is no training for school-board directors on how to work the budget. Most school-board directors get their budget and they are like, ""Yeah. We are still in the black. That sounds great."" All of decisions are made by the business office and superintendents. Principals are not part of the conversation. They are not part of the equation and teachers, families and students are nowhere near the conversation of where school money should be going to."
State administrators/legislators/board,1057,"What we have seen is we have seen school-boards make decisions where they basically rubber stamp the balance sheet and then the superintendent and the business office, along with HR end up sending the same amount of money that has been put into really high-income school buildings to pay for their teachers, as well as the same amount of money to going into low-income school districts, to pay for their teachers, which means that at the end of the year, we have low-income schools with low paid staff because they are the newest staff members. They are cheaper. What we end up with is a system that is about buying people. And that sounds horrible, but the system mostly is about how much money can we spend on how many people."
State administrators/legislators/board,1058,"We end up getting school buildings that have high low-income, high percentage of ELL students, high percentage of special-ed students, high percentage of multicultural students that need more supports and need more school nurses, student success coordinators. but they are the ones that get the least experienced teachers. That does not mean that they are the worst teachers. They are just the least experienced because they are the least expensive. We get high-income areas with really productive teachers who are also really expensive."
State administrators/legislators/board,1059,"Our kids are being taught by folks who like a year ago got out of the teacher prep programs and they do not have the experience for classroom management. They do not have the experience for how to meet standards, how to excel standards, how to teach to the test, like all of the things that we expect our teachers to have, they do not have because they have never been in the classroom before."
State administrators/legislators/board,1095,"The Gates Foundation just did a report in February around McCleary that they delivered to Bill Gates around how has McCleary been effective, if it has at all? They did about two and a half months of a lot of data collection, a lot of data analysis. They took of the 295 school districts, they took a quarter of those school districts, urban, rural, and suburban. And tried to mitigate what those school budgets would look like outside of CARES money and outside of pandemic money. In five years of the 25% that they took, all of those school districts are going to be insolvent."
State administrators/legislators/board,1096,"there are school districts that are so on the cusp of being flat broke because of how we fund education and how little people know about education funding and what that is supposed to look like that in five years, by the year 2030, they are going be closed."
State administrators/legislators/board,1097,"not just talking about one school district that is like a schoolhouse that houses like 50 kids. We are talking about school districts in King County. We are talking about school districts in Spokane, in Yakima, in Chelan, we are talking about a mix of school districts that if we do not get our shit together, they are going to close and we are going to have to figure out how to educate these kids. And those are kids that are majority kids-of-color, majority ELL (english language learner), majority low-income."
State administrators/legislators/board,1098,"And it is horrifying that there is not enough people in the legislature. And that OSPI that are beginning to ""wait a second."" And this study is not something that OSPI does on a regular. It should not take the Gates Foundation to try to figure out like, ""are we okay?"" because we are not ."
State administrators/legislators/board,1099,"there are 26 different accounting systems that random school districts use and OSPI has to collate all of them. We cannot even say that we are matching dollars to dollars because there are some school districts in which the superintendent is the accounting office, because they are so small. Of the 295 school districts, 156 are less than 3000 people."
State administrators/legislators/board,1100,"even if you look at the website for OSPI, finding the financial information, you got to dig for it. That should be friends center. I donnot care who your new president Biden nominee for whatever the hell it is, get that off it. The finances of your school districts should be the first thing I see on your website. And you have got to really dig for the 2020 K-12 financial report, the budget."
State administrators/legislators/board,1101,"but the question of how does the legislature, how does policy then create equity, recognizing that students arrive at the schoolhouse door with differing economic statuses and challenges that I have a lot to say about. And that also goes to I think, the racial equity, but let me stay with the economic equity for a moment and just talk about it."
State administrators/legislators/board,1102,"It means that we, as an educational system have to be able to differentiate among the needs of our students. A student who is homeless is probably going to need a lot of additional social support so that they can be physically and mentally prepared to absorb learning."
State administrators/legislators/board,1103,There are things that I think that do fall within the responsibility of our educational system. And I would also say there are things that are beyond what the educational systems can or should be asked to take on. but it does become the responsibility of the broader state government and how do we then integrate all of those systems so that we are supporting that homeless student to be able to be ready to learn.
State administrators/legislators/board,1104,"So to me, it is being able to differentiate the needs of our students, those that are both academics, as well as those that are not academic in nature, but are necessary to be able to promote the academic pursuit. When we talk about racial equity, I think you can talk about that in a couple of ways. So I am going to be very clear about the way I am interpreting this."
State administrators/legislators/board,1105,"And that is that it is my strong belief and it is part of my ethos that each and every student can learn and should have an equitable opportunity to reach this far or their potential as measured by the standards that we have established for general education and for some students as modified by their individualized education plan because again, we have to recognize that."
Local administrators/board members,1169,"And I had to get real with some colleagues, some of my white colleagues and colleagues of-color, about checking that out and checking in, like, Am I just being a coward here? And the consensus that I have heard is, ""No, that is the work. You cannot blow up the community and expect that you are going to unify and move things forward."" I think that is where John Krownapple and Floyd Cobb's work really resonated for us, is I am not sure that you could take anyone on a political spectrum, or a gender identity spectrum, or a religious spectrum and say, So, you are telling me that you do not want all kids to feel like they belong? that is a hard one to argue against."
Local administrators/board members,1170,"i have found that that work is really resonating well for our community. And even some of the staunchest, you are doing critical-race-theory (CRT), even though they cannot define it people, I just give them the book and I say, here is the book we are going to be using to train staff. now, we are building a internal common dialogue, and building goals before we do external planning with community members. Give this book a read, and if you see something in there that is concerning, lets meet again. Now those people, I have not had one person that I have given the book to meet with me. Now, it could be because they are not taking the initiative to actually read the book, that could be true. but I think that says something about how committed they are to their cause, if you are not willing to read the book, probably not so committed. But it is also real hard to argue with, that there is just some people that should not feel like they belong. That narratives not going to get folks far."
Local administrators/board members,1171,"That is our current focus, is this concept of belonging. And were taking a slow path into this, in that this year has been about the district and building level leaders learning together with Floyd Cobb and John Krownapple to really understand the language, build a common language, build a common vision for what does it mean when were doing belonging at the fullest extent possible? This spring, well be ready to start to engage in a deeper level of data analysis that will then culminate with empathy interviews with those groups of people that were seeing through the data are not exhibiting the attributes of belonging."
